dataset,model,run_name,seed,metrics_present,diagnostics_present,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_max_abs_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_gate_weight_rel_0,diag_gate_weight_rel_1,diag_gate_weight_rel_2
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em3,42,True,True,0.5424490852129299,0.8589170462234119,0.7188507953050264,0.7198396335267837,1.5185513496398926,0.0,nan,0.0,0.0,0.012611275538802147,0.8778609037399292,0.9981866478919983,0.0008678281446918845,0.0009455586550757289
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em3,123,True,True,0.5839771917723436,0.870800673556988,0.7348910110711948,0.7138868384158591,1.4450962543487549,0.0,nan,0.0,0.0,0.0020339498296380043,0.5135881900787354,0.9997720718383789,0.00011631131928879768,0.0001115733030019328
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em3,456,True,True,0.5714141963541067,0.8645752065915611,0.7262739663947718,0.7194349501484013,1.5534971952438354,0.0,nan,0.0,0.0,0.011044679209589958,0.9035292267799377,0.9985374808311462,0.0013568357098847628,0.00010570114682195708
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em3,789,True,True,0.5705685362477186,0.8702140766528405,0.7285255266379437,0.7076231466015196,1.4470171928405762,0.0,nan,0.0,0.0,0.003491927869617939,0.5579915046691895,0.9995852112770081,0.00019646569853648543,0.00021831368212588131
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em3,2026,True,True,0.5664968026061951,0.8691357139454574,0.72960695753283,0.6908284040791202,1.4251610040664673,0.0,nan,0.0,0.0,0.0030552265234291553,0.5940561890602112,0.9996462464332581,0.00017004659457597882,0.00018372866907157004
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em2,42,True,True,0.5442405580147311,0.8603119653686685,0.724016759395059,0.7131335770927221,1.4248751401901245,0.0,nan,0.0,0.0,0.005096246022731066,0.5477021336555481,0.9993727207183838,0.0002656474243849516,0.00036166119389235973
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em2,123,True,True,0.5845693863928146,0.8709794454929205,0.7364238620104542,0.717985514501148,1.3709150552749634,0.0,nan,0.0,0.0,0.0021221362985670567,0.41459012031555176,0.9997645020484924,0.00011957658716710284,0.00011602329323068261
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em2,456,True,True,0.5719533974880616,0.8652692882753705,0.7262877662517608,0.7147365675594349,1.449805498123169,0.0,nan,0.0,0.0,0.017622683197259903,0.709603488445282,0.9974828958511353,0.0023366212844848633,0.00018043286399915814
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em2,789,True,True,0.57043317131458,0.8701518210299899,0.7278473724165269,0.7103588810837048,1.3428300619125366,0.0,nan,0.0,0.0,0.005053211003541946,0.4278182089328766,0.9993757605552673,0.00028983826632611454,0.00033439844264648855
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em2,2026,True,True,0.5656978668820507,0.8682992128434792,0.7282175453460161,0.6909464175404929,1.3667981624603271,0.0,nan,0.0,0.0,0.0034282980486750603,0.6367380023002625,0.999607503414154,0.0001744787150528282,0.00021803047275170684
